Table-16: Deposit Amount Distributed by District and Thana ,,,,,,,,,,,,,,,,,,,,,,,,,
All Banks,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCHEDULED BANKS,,,,,,,,,,,,,,,,,,,,,,,
,,Deposit Amount in Crore Taka,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,2024
District,Thana,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1*ST QUARTER
,CHAPAINAWABGANJ SADA,1571.83,1727.63,1706.74,1736.98,1731.25,1853.52,1899.29,1984.65,1985.18,2048.58,2151.47,2277.76,2226.54,2322.77,2467.71,2598.14,2552.51,2762.61,2573.95,2539.94,2550.49,2702.99,2834.21,2760.49
,GOMOSTAPUR,241.53,260.82,252.25,257.98,251.41,268.69,280.39,283.64,272.07,298.75,310.03,324.26,326.09,343.34,366.49,369.18,361.54,379.36,390.69,374.27,396.12,421.06,430.46,414.80
,NACHOLE,80.55,86.01,89.08,87.14,84.31,90.13,87.06,108.79,96.24,117.52,227.61,117.60,129.01,134.07,131.26,136.26,149.54,168.12,164.91,173.19,195.04,195.24,190.98,189.02
,SHIBGANJ,511.73,530.27,547.55,536.76,517.02,543.51,584.80,580.97,551.12,577.93,645.87,708.04,634.44,670.38,730.14,740.36,737.08,769.81,831.61,777.96,897.56,930.19,957.74,921.58
CHATTOGRAM Total,,146537.78,151683.26,151626.90,153269.29,157171.70,158748.71,161942.85,168507.43,167633.01,169947.20,177891.58,191440.88,190519.68,194855.92,198558.06,206544.20,212100.43,213023.71,207863.02,211320.12,228610.20,235493.35,237855.84,240637.65
CHATTOGRAM,AKBOR SHAH,378.92,355.54,387.96,392.81,395.88,412.46,445.21,459.91,458.40,467.41,486.59,501.46,526.88,584.69,589.45,609.39,575.01,570.44,591.27,575.49,616.18,621.79,630.16,620.10
,ANWARA,929.40,968.65,969.00,1003.85,997.78,1025.41,1084.58,1119.41,1155.10,1160.53,1313.28,1276.03,1271.25,1363.20,1396.38,1402.14,1400.67,1496.93,1562.74,1561.33,1626.21,1739.76,1829.74,1851.83
,BAIOZID BOSTAMI,1458.18,1498.12,1491.69,1587.62,1627.34,1669.31,1727.67,1826.98,1791.87,1984.89,2000.79,2122.12,2092.92,2132.87,2339.39,2231.06,2216.14,2373.10,2539.46,2485.97,2511.04,2544.12,2615.27,2686.99
,BAKOLIA,659.89,656.75,684.30,735.83,720.21,763.94,771.43,800.61,775.05,838.20,874.23,892.74,944.03,1013.08,1040.86,1177.28,1151.32,1156.40,1225.96,1251.75,1541.24,1349.22,1540.84,1614.17
,BANDAR CTG.,11346.15,11338.62,11363.87,10837.05,10754.87,11470.34,11634.87,11695.53,11874.11,12139.84,11172.29,10130.57,10491.56,9925.00,10281.16,10759.21,10631.46,10193.35,9829.37,9999.67,10473.55,9953.52,9788.70,10813.11
