Table-16: Deposit Amount Distributed by District and Thana ,,,,,,,,,,,,,,,,,,,,,,,,,
All Banks,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCHEDULED BANKS,,,,,,,,,,,,,,,,,,,,,,,
,,Deposit Amount in Crore Taka,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,2024
District,Thana,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1*ST QUARTER
,DIGHALIA,43.41,54.92,53.93,54.12,49.95,52.00,49.96,52.13,49.92,56.87,52.91,58.67,55.86,56.96,55.17,60.10,59.37,62.73,61.95,71.87,75.15,78.22,79.32,77.45
,DUMURIA,408.81,447.83,428.77,445.00,438.92,472.05,460.47,494.13,489.69,523.93,530.88,562.09,562.99,580.76,612.65,642.90,633.94,658.86,662.46,708.66,728.80,730.79,773.68,784.72
,HARINTANA,43.37,42.53,45.91,51.87,52.14,53.96,56.87,63.14,66.05,63.60,70.24,69.09,72.46,70.14,71.09,70.38,265.17,120.23,74.30,80.12,83.35,84.25,87.97,88.96
,KHALISHPUR,909.90,841.13,715.35,760.51,756.55,772.64,711.39,680.24,675.50,718.57,691.60,851.49,797.57,842.38,792.74,919.69,952.10,970.40,873.88,953.19,1011.72,1066.82,1076.44,1057.55
,KHAN JAHAN ALI,450.29,455.94,453.87,507.39,473.92,499.27,520.40,596.62,643.78,618.30,620.38,656.35,687.76,709.82,629.71,685.36,734.61,743.09,730.50,812.10,879.54,789.60,907.71,947.42
,KOTWALI_KHULNA,6353.59,6336.52,6455.94,6654.90,6866.64,7240.29,7209.46,7869.78,7990.27,8321.57,8521.20,8918.70,8811.02,9060.33,9262.74,9725.32,9546.65,9989.72,10081.38,10199.50,10933.91,10643.59,10899.69,10675.17
,KOYRA,121.46,136.99,132.01,137.16,132.67,151.86,145.61,148.01,141.78,152.11,146.32,149.27,144.33,157.54,154.32,156.11,155.99,169.87,170.11,169.76,184.27,188.21,189.78,188.22
,LABONCHORA,28.51,30.76,27.37,32.80,27.09,31.78,26.77,26.90,26.82,27.64,26.79,31.94,25.37,30.02,30.60,33.93,33.72,59.69,59.98,61.97,55.10,52.43,37.00,36.80
,PAIKGACHA,528.91,550.63,553.19,578.90,562.63,597.40,615.05,635.78,612.89,640.03,650.39,714.60,696.88,687.82,687.55,712.10,685.57,735.20,738.44,748.77,741.38,766.13,786.60,763.26
,PHULTALA,281.05,302.21,300.08,316.99,312.53,349.33,354.79,372.96,377.84,398.35,401.74,433.43,418.37,436.18,437.69,452.68,449.02,475.85,474.54,477.21,487.91,480.49,503.37,496.50
,RUPSA,141.70,150.68,145.78,152.27,149.11,158.03,158.09,162.24,169.12,181.70,180.18,193.59,195.75,200.21,214.52,217.88,220.42,230.69,219.29,224.87,241.65,281.51,294.05,264.46
,SONADANGA,2750.57,3003.99,2861.61,3094.95,3089.34,3447.66,3626.95,3810.34,3774.44,3946.73,3814.49,3902.70,3793.66,4023.50,4108.04,4142.55,4067.11,4806.96,4615.57,4673.05,4944.26,4918.60,4983.84,4982.74
,TEROKHADA,83.58,89.09,88.40,94.42,93.14,101.34,97.22,103.76,103.24,115.85,110.02,119.96,116.35,123.73,121.80,131.94,135.17,143.48,143.45,149.77,159.75,168.37,169.73,170.03
KISHOREGANJ Total,,4633.46,4979.78,5021.49,5214.02,5360.75,5669.30,5826.66,6091.34,6118.92,6467.77,6891.76,7176.77,7141.37,7600.69,7818.92,8007.93,8039.14,9231.55,8728.72,8552.09,9183.61,9405.34,9687.01,9776.35
KISHOREGANJ,ASTAGRAM,76.05,83.36,82.61,79.96,80.15,88.49,84.52,85.89,83.62,94.50,99.30,100.53,97.84,107.72,108.72,110.95,110.59,122.83,124.33,125.19,128.72,135.81,133.87,132.23
,BAJITPUR,373.06,397.48,404.94,413.14,413.42,420.57,437.82,452.08,472.00,497.57,517.13,543.10,543.11,578.28,593.54,608.71,610.56,645.36,661.58,657.13,700.89,736.94,742.83,726.09
,BHAIRAB,1304.24,1379.73,1411.15,1473.94,1531.36,1610.87,1642.97,1736.39,1749.70,1827.85,1934.64,2020.54,1999.64,2078.51,2137.24,2186.91,2301.57,2421.34,2299.30,2233.44,2361.32,2423.49,2502.75,2528.27
,HOSSAINPUR,147.30,162.98,160.58,160.72,175.53,190.89,197.09,198.55,198.03,203.23,219.12,227.50,231.46,254.75,269.33,274.18,272.87,295.13,303.66,292.65,324.35,345.78,352.48,358.10
,ITNA,51.58,53.10,52.13,54.51,56.32,66.51,60.23,58.22,58.34,66.45,66.56,68.30,65.80,73.71,73.26,71.90,71.55,80.89,87.25,85.88,89.54,91.37,89.56,87.76
,KARIMGANJ,122.41,131.13,134.51,137.45,133.01,154.38,151.08,150.92,153.32,163.49,176.05,183.61,181.61,192.81,200.56,202.17,195.82,219.44,228.19,228.23,246.39,260.38,266.56,258.12
,KATIADI,393.82,426.48,436.27,451.67,464.39,490.07,513.84,547.16,544.77,567.65,631.22,653.56,662.26,686.17,701.22,721.42,713.55,762.55,831.78,797.24,829.34,878.77,904.58,928.25
,KISHOREGANJ SADAR,1468.11,1588.77,1590.65,1654.00,1699.47,1768.60,1846.24,1935.83,1948.75,2064.04,2200.16,2294.05,2281.28,2477.14,2571.32,2616.01,2569.73,3371.93,2864.95,2813.84,3089.22,3065.38,3166.03,3214.19
,KULIARCHAR,139.22,152.23,147.97,153.20,155.71,171.02,173.47,178.33,176.68,191.56,202.51,207.27,207.76,229.70,232.51,239.86,238.30,265.60,268.67,270.36,290.55,296.48,303.82,305.79
,MITHAMON,77.48,84.14,80.38,86.27,89.55,95.46,94.70,98.50,99.37,107.55,115.55,119.67,121.28,135.42,133.14,135.81,135.99,170.68,161.25,153.94,173.61,164.15,162.20,160.65
,NIKLI,76.49,83.06,81.00,85.58,87.57,93.97,93.14,90.87,90.19,97.14,102.96,109.17,109.41,117.09,115.75,117.92,117.61,129.70,135.87,137.88,155.76,160.43,166.78,168.88
,PAKUNDIA,304.10,328.79,332.62,357.50,365.21,390.88,414.00,441.19,428.94,456.14,497.88,522.27,516.57,535.43,551.57,587.72,568.98,603.57,616.13,614.20,646.33,690.06,738.48,752.48
,TARAIL,99.60,108.55,106.69,106.10,109.06,127.59,117.54,117.40,115.22,130.61,128.68,127.22,123.37,133.96,130.77,134.37,132.03,142.52,145.75,142.12,147.58,156.29,157.08,155.54
KURIGRAM Total,,1321.17,1489.92,1446.01,1492.43,1482.27,1654.31,1672.41,1727.22,1697.62,1861.12,1886.09,1960.26,1971.61,2144.43,2239.05,2152.28,2175.53,2410.13,2346.15,2403.62,2500.94,2570.98,2598.93,2555.84
KURIGRAM,BHURUNGAMARI,138.31,155.82,154.13,152.92,147.55,162.91,169.01,174.18,171.66,186.78,172.61,209.88,211.95,239.16,228.32,231.26,235.16,280.60,305.96,302.12,312.63,310.18,327.27,320.92
,CHILMARI,66.11,76.74,71.77,68.32,69.29,77.60,79.65,74.36,78.03,87.05,70.57,91.75,94.82,98.01,100.92,102.53,100.36,109.08,106.14,109.62,112.60,113.68,114.68,112.44
,FULBARI,71.17,85.78,79.00,82.32,83.95,97.28,95.82,98.78,94.87,97.12,97.57,108.13,106.93,114.49,102.44,111.39,142.65,154.31,122.69,130.90,137.78,147.65,141.91,137.96
,KURIGRAM SADAR,506.61,566.36,566.80,598.00,596.82,676.57,665.86,691.88,666.17,727.06,777.07,754.58,777.96,845.49,928.17,851.40,857.32,948.21,897.20,918.17,976.83,1005.17,998.23,989.80
,NAGESWARI,146.74,169.72,157.05,160.12,155.04,165.46,177.04,183.30,180.48,199.72,202.13,210.03,202.53,224.20,245.33,232.05,226.62,243.26,240.32,267.96,262.71,270.57,271.24,252.92
,RAJARHAT,77.50,84.88,82.86,85.25,78.78,86.21,87.98,92.49,91.64,103.33,136.89,108.50,107.84,115.12,136.43,121.97,117.22,125.92,125.67,132.70,138.77,154.12,142.38,142.60
,RAJIBPUR,29.87,35.01,34.45,34.39,31.32,38.94,35.78,33.59,32.07,39.93,36.00,41.00,38.69,41.48,37.80,37.47,36.32,46.34,42.56,39.80,43.51,40.10,39.80,43.24
,ROWMARI,122.30,136.85,133.34,138.89,143.92,160.00,167.09,173.60,172.48,191.57,196.30,209.25,211.42,223.05,225.63,222.08,220.22,240.66,239.20,228.60,243.37,244.71,260.34,267.32
,ULIPUR,162.55,178.75,166.61,172.22,175.61,189.32,194.17,205.04,210.23,228.56,196.96,227.14,219.47,243.43,234.01,242.12,239.66,261.75,266.41,273.76,272.72,284.78,303.07,288.64
KUSHTIA Total,,4523.04,4991.54,4806.60,5002.76,4912.41,5465.22,5634.09,5745.60,5687.90,6274.15,6485.59,6834.40,7033.95,7076.82,7453.74,7843.70,7764.75,8055.35,8058.38,8181.79,8212.86,8374.11,8589.84,8712.37
KUSHTIA,BHERAMARA,348.47,385.31,384.21,404.77,398.84,452.40,451.53,468.45,454.76,502.92,529.31,574.82,587.28,641.06,719.51,736.23,676.53,731.14,741.56,734.38,786.76,820.12,827.19,834.99
,DAULATPUR,284.99,342.42,334.38,337.85,327.01,385.63,381.24,383.72,375.53,423.87,433.94,465.97,447.11,489.49,488.67,503.15,495.99,534.06,524.47,500.62,530.79,525.34,528.07,533.47
,ISLAMI UNIVERSITY,144.43,153.21,166.14,168.95,162.50,167.83,186.60,207.66,221.14,237.34,208.08,218.05,218.95,216.29,217.58,309.23,302.18,298.67,245.42,257.73,257.58,311.00,332.91,320.78
,KHOKSA,133.39,141.49,132.26,128.80,127.08,142.59,138.09,148.50,143.01,164.19,158.70,167.11,167.04,176.75,174.07,181.59,174.28,190.43,187.50,222.47,194.70,197.51,203.02,199.99
,KUMARKHALI,313.60,344.47,338.20,329.46,321.42,365.16,372.91,380.90,364.31,409.63,429.54,452.47,437.86,466.38,483.99,489.30,475.18,513.22,520.96,497.85,529.00,524.30,524.20,542.54
,KUSHTIA SADAR,2932.14,3215.20,3058.36,3246.05,3197.71,3528.77,3680.73,3723.66,3703.46,4059.68,4235.69,4444.15,4637.22,4537.18,4791.78,5066.97,5060.45,5177.76,5228.09,5378.24,5285.46,5339.33,5524.59,5560.31
,MIRPUR,366.02,409.46,393.04,386.88,377.85,422.85,422.98,432.72,425.69,476.53,490.34,511.83,538.50,549.66,578.14,557.24,580.12,610.07,610.37,590.50,628.58,656.51,649.86,720.30
LAKSHMIPUR Total,,5167.82,5447.68,5551.78,5711.71,5789.20,6004.79,6285.71,6595.52,6548.20,6873.61,7506.25,7811.50,7783.74,8083.60,8316.72,8446.45,8601.76,8992.14,8971.97,8467.60,8874.82,9357.62,9448.46,9496.67
LAKSHMIPUR,CHANDRAGANJ,595.16,629.88,660.50,683.90,690.34,714.77,766.09,816.38,825.23,860.18,962.20,1018.72,1057.63,1105.37,1157.98,1170.09,1174.91,1242.85,1330.00,1249.97,1334.77,1414.89,1433.50,1438.21
,KAMALNAGAR,191.36,205.36,212.74,218.13,231.61,241.06,262.46,277.42,290.18,292.27,346.72,371.44,369.07,386.79,417.61,359.76,359.59,359.34,415.03,382.15,403.16,428.08,439.33,445.11
,LAKSHMIPUR SADAR,1988.83,2116.99,2132.35,2195.70,2234.78,2332.06,2434.76,2570.82,2524.02,2655.28,2895.44,2965.62,2928.51,3074.88,3168.44,3249.36,3346.23,3514.83,3380.61,3208.90,3365.79,3582.95,3589.01,3644.08
,RAIPUR,1131.42,1185.87,1219.18,1248.88,1262.60,1306.21,1356.69,1412.44,1397.55,1461.07,1585.61,1634.22,1635.71,1672.18,1711.25,1740.01,1765.63,1804.47,1820.47,1714.02,1777.32,1864.09,1885.99,1883.56
,RAMGANJ,1106.85,1144.08,1157.95,1196.78,1209.78,1242.44,1292.07,1339.82,1338.21,1420.83,1525.40,1626.60,1606.91,1647.80,1665.28,1725.59,1747.51,1850.39,1796.06,1693.34,1765.03,1831.35,1866.47,1854.92
,RAMGATI,154.19,165.50,169.07,168.31,160.11,168.25,173.64,178.64,173.01,183.98,190.88,194.90,185.91,196.58,196.16,201.65,207.88,220.26,229.79,219.23,228.73,236.27,234.15,230.80
LALMONIRHAT Total,,864.47,955.77,930.79,954.09,923.23,1028.37,1003.83,1075.11,1027.52,1149.65,1135.01,1234.36,1180.82,1274.26,1332.08,1373.30,1359.99,1475.68,1452.88,1562.84,1525.59,1578.58,1662.87,1640.64
LALMONIRHAT,ADITMARI,81.25,80.84,84.45,79.02,80.78,84.54,81.37,88.10,83.16,94.78,77.47,99.74,98.55,100.16,102.49,109.77,105.80,113.58,111.63,123.48,117.14,121.40,130.58,116.83
,HATIBANDHA,77.85,99.15,95.01,92.12,88.25,100.70,104.40,106.47,98.47,120.22,101.55,112.69,110.54,111.78,141.59,133.61,122.54,136.21,138.32,145.45,134.87,144.09,150.31,152.09
,KALIGANJ,106.74,124.03,123.63,117.38,117.43,128.13,127.60,132.83,128.85,142.17,134.17,150.98,140.83,152.11,162.72,162.82,220.49,221.42,182.14,184.92,203.73,211.59,230.13,220.54
,LALMONIRHAT SADAR,435.32,471.93,447.98,466.19,447.91,511.69,492.60,533.50,501.27,563.52,583.88,610.34,582.93,632.03,635.08,654.98,614.96,682.36,687.63,706.22,735.62,776.39,813.91,789.88
,PATGRAM,163.31,179.83,179.71,199.39,188.85,203.31,197.86,214.22,215.77,228.96,237.94,260.60,247.97,278.17,290.20,312.13,296.20,322.11,333.16,402.77,334.22,325.11,337.94,361.30
MADARIPUR Total,,3659.91,4229.40,4011.11,4303.58,4384.08,4664.66,4636.20,4865.39,4831.67,5306.68,6106.06,5721.11,5635.87,5742.76,5799.33,5961.10,5898.47,6154.01,6911.69,6298.41,6589.59,6917.12,7207.85,7217.64
MADARIPUR,KALKINI,268.81,298.31,311.61,304.22,310.72,335.44,338.11,352.60,350.55,374.90,411.48,421.39,425.35,460.45,521.28,491.55,491.26,528.96,545.25,535.14,558.38,569.79,590.40,588.84
,MADARIPUR SADAR,1620.33,2028.17,1745.05,1949.88,1970.39,2152.45,2046.96,2151.68,2161.00,2509.48,3145.56,2665.97,2632.00,2638.27,2625.70,2704.19,2720.35,2813.66,3439.54,2878.53,2997.53,3171.27,3288.05,3299.28
,RAJOIR,738.92,781.54,800.54,861.99,814.89,861.16,901.27,956.86,946.54,994.48,1043.09,1109.07,1095.64,1131.71,1147.60,1204.90,1182.05,1245.46,1328.88,1319.88,1380.48,1456.80,1545.06,1543.91
,SHIBCHAR,1031.84,1121.38,1153.92,1187.49,1288.08,1315.60,1349.86,1404.25,1373.58,1427.82,1505.94,1524.68,1482.88,1512.32,1504.76,1560.46,1504.81,1565.93,1598.02,1564.86,1653.20,1719.27,1784.34,1785.61
MAGURA Total,,1436.66,1576.35,1541.83,1552.24,1535.10,1696.87,1700.60,1778.23,1732.43,1885.71,1980.09,2078.59,2069.16,2139.71,2266.38,2339.84,2149.02,2305.47,2420.62,2429.70,2567.32,2606.43,2702.33,2707.27
MAGURA,MAGURA SADAR,963.91,1062.26,1021.93,1044.75,1030.63,1135.06,1163.70,1214.97,1181.03,1289.55,1374.69,1444.27,1433.69,1462.98,1580.47,1622.73,1447.16,1548.91,1642.47,1642.40,1730.54,1758.75,1821.90,1829.29
,MOHAMMADPUR,158.68,171.28,167.76,168.70,166.27,203.66,186.12,194.94,193.21,212.62,212.70,220.83,220.11,236.85,242.40,251.25,245.53,265.72,273.70,271.02,288.19,290.62,290.33,290.89
,SHALIKHA,151.71,159.81,175.82,163.39,162.96,173.15,168.69,178.23,171.80,185.01,191.28,201.16,198.59,208.97,212.42,221.92,218.95,234.23,243.72,256.04,267.07,271.80,290.15,287.64
,SREEPUR,162.36,183.00,176.32,175.40,175.24,184.99,182.08,190.09,186.38,198.53,201.43,212.33,216.76,230.90,231.09,243.94,237.39,256.62,260.73,260.24,281.53,285.27,299.95,299.44
MANIKGANJ Total,,4037.58,4267.84,4245.04,4299.91,4258.26,4510.44,4655.89,4797.99,4768.03,5024.62,5321.55,5570.39,5553.42,5713.70,5921.78,6132.86,6019.68,6372.89,6613.38,6474.83,6846.45,7074.94,7222.50,7263.75
MANIKGANJ,DAULATPUR,101.75,111.35,110.51,114.72,109.92,128.55,118.42,124.31,123.30,132.66,138.99,148.96,144.05,154.44,149.29,159.21,158.19,170.10,186.51,182.14,195.26,208.84,208.69,210.24
,GHIOR,242.38,244.85,231.70,230.14,222.23,243.46,241.67,249.51,250.19,267.32,279.13,293.19,290.81,310.66,316.08,337.28,328.29,344.87,350.50,351.75,370.26,373.58,387.99,395.31
,HARIRAMPUR,242.81,236.78,263.93,261.43,261.07,275.65,314.86,289.57,286.43,306.13,312.72,322.29,318.50,318.85,344.83,359.38,359.74,387.04,398.80,387.68,425.89,444.82,451.77,457.92
,MANIKGANJ SADAR,2077.56,2184.23,2183.86,2228.51,2221.11,2345.00,2414.89,2510.90,2506.66,2623.40,2771.21,2869.42,2867.81,2958.97,3079.38,3195.04,3079.75,3246.74,3362.50,3315.05,3528.60,3613.56,3694.40,3717.36
,SATURIA,352.79,374.21,368.53,364.96,357.29,375.24,367.98,383.99,375.62,394.94,411.69,432.68,433.08,445.72,459.80,460.81,450.81,480.45,493.53,494.68,513.96,544.42,556.66,559.95
,SHIVALAYA,284.42,309.45,295.47,291.42,282.87,298.62,305.93,315.90,321.35,348.14,357.75,366.46,368.52,377.75,405.38,409.33,413.36,451.26,450.01,445.22,456.63,469.78,481.55,477.76
,SINGAIR,735.88,806.98,791.04,808.73,803.77,843.92,892.14,923.81,904.49,952.03,1050.06,1137.39,1130.64,1147.31,1167.01,1211.80,1229.55,1292.43,1371.53,1298.32,1355.85,1419.94,1441.44,1445.22
MEHERPUR Total,,901.25,1011.57,982.10,1026.33,985.05,1083.69,1074.94,1144.17,1142.40,1228.52,1319.53,1425.86,1400.89,1473.24,1467.98,1521.59,1591.83,2203.43,1597.69,1574.11,1631.27,1624.26,1681.02,1686.17
MEHERPUR,GANGNI,248.82,277.40,278.08,287.89,275.76,308.98,301.48,319.68,312.43,344.50,370.62,390.31,369.65,402.85,407.04,434.45,418.47,851.02,453.21,447.22,458.60,448.87,474.93,472.99
,MEHERPUR,601.11,677.36,648.73,681.30,664.23,712.01,711.57,758.96,763.49,811.15,875.41,956.38,957.75,991.51,982.11,1007.60,1097.54,1265.72,1059.75,1042.69,1085.13,1087.10,1113.85,1115.07
,MUZIBNAGAR,51.32,56.81,55.29,57.14,45.06,62.69,61.89,65.53,66.48,72.88,73.51,79.17,73.49,78.89,78.83,79.54,75.81,86.68,84.73,84.20,87.54,88.29,92.24,98.11
MOULVIBAZAR Total,,7697.61,8010.35,7952.92,8142.01,8085.03,8406.42,8540.43,8905.02,8931.35,9352.88,9831.21,10075.38,10194.18,10565.60,10761.23,11017.76,11314.22,12026.82,11885.24,11962.81,12516.47,12995.88,13697.73,13670.88
MOULVIBAZAR,BARALEKHA,860.53,889.83,907.44,946.63,931.46,962.96,986.54,1026.42,1029.91,1075.67,1117.59,1173.33,1184.28,1211.17,1240.27,1269.79,1386.41,1470.27,1391.10,1371.68,1416.94,1488.47,1540.53,1535.17
,JURI,250.63,265.57,269.65,274.73,270.68,290.20,300.98,320.87,315.31,334.94,357.13,373.82,376.11,390.37,411.60,423.50,392.81,513.51,466.37,469.20,488.83,508.52,546.53,541.49
,KAMALGANJ,336.24,359.48,359.43,377.98,362.84,385.53,390.34,411.31,417.38,440.29,458.58,480.13,478.15,493.85,475.62,483.99,518.45,561.80,576.73,594.02,631.34,649.40,689.08,727.86
,KULAURA,981.24,1034.09,1040.34,1100.92,1060.55,1115.82,1131.42,1183.02,1177.09,1232.54,1295.22,1349.69,1352.10,1413.49,1468.40,1478.06,1437.97,1528.89,1597.33,1586.84,1660.61,1720.32,1813.93,1831.37
,MOULVIBAZAR SADAR,3808.82,3973.33,3891.50,3906.84,3907.25,4053.01,4093.94,4225.23,4195.64,4333.00,4603.88,4627.30,4707.10,4890.63,4946.31,5089.44,5037.64,5350.61,5345.45,5413.32,5668.57,5856.87,6194.04,6101.32
,RAJANAGAR,244.29,259.48,247.35,255.83,257.89,271.58,278.22,287.37,298.81,336.76,336.29,361.94,365.34,400.46,419.06,439.51,443.89,494.14,504.75,519.82,552.45,582.52,627.75,646.47
,SREEMANGAL,1215.87,1228.57,1237.21,1279.07,1294.35,1327.32,1358.99,1450.81,1497.21,1599.67,1662.53,1709.18,1731.09,1765.63,1799.97,1833.48,2097.05,2107.60,2003.51,2007.94,2097.73,2189.78,2285.88,2287.20
MUNSHIGANJ Total,,6160.75,6729.14,6843.20,7106.03,7061.00,7469.94,7689.52,8075.08,7809.36,8170.14,8996.61,9779.16,9755.06,10062.48,10190.58,10589.61,10709.32,11081.02,11301.24,10913.68,11220.08,11698.75,11941.84,11807.11
MUNSHIGANJ,GAZARIA,436.78,465.99,476.75,501.51,515.28,553.63,557.86,581.48,586.27,604.72,620.55,649.61,650.10,700.15,721.82,759.71,789.38,829.68,843.65,821.50,838.74,841.06,859.95,857.08
,LOHAJONG,442.59,502.43,511.19,580.06,528.81,575.58,563.12,589.75,569.54,665.60,647.36,692.40,700.09,744.41,751.96,775.64,806.29,896.51,975.78,1019.94,972.45,959.30,934.15,882.67
,MUNSHIGANJ SADAR,2068.74,2243.27,2285.30,2362.38,2387.81,2468.72,2556.67,2664.20,2650.09,2725.26,3095.58,3363.48,3337.46,3380.68,3320.99,3432.53,3354.71,3534.66,3554.64,3441.92,3534.41,3716.32,3795.45,3838.93
,SERAJDIKHAN,1143.01,1234.70,1256.89,1282.16,1275.18,1322.05,1364.75,1437.17,1372.32,1447.35,1624.38,1787.93,1784.27,1783.04,1806.32,1867.65,1841.71,1930.35,1956.90,1898.81,1968.30,2080.85,2116.26,2106.48
,SREENAGAR,1194.52,1351.14,1347.86,1359.67,1365.07,1483.64,1526.13,1610.13,1505.47,1527.59,1708.30,1853.49,1848.89,1950.38,2012.28,2133.42,2128.05,2268.60,2282.04,2128.44,2216.45,2313.71,2350.62,2293.44
,TONGI BARI,875.12,931.62,965.21,1020.26,988.86,1066.32,1120.99,1192.35,1125.66,1199.61,1300.43,1432.25,1434.24,1503.83,1577.20,1620.66,1789.18,1621.21,1688.23,1603.08,1689.72,1787.50,1885.42,1828.52
MYMENSINGH Total,,8107.86,8901.73,8729.32,9045.57,9075.79,9856.02,9807.46,10408.68,10394.49,10981.94,11302.52,11708.66,11770.56,12421.03,12259.68,12690.56,13496.53,14282.77,14197.17,14255.25,14962.99,15591.07,15725.81,16134.45
MYMENSINGH,BHALUKA,907.54,998.09,995.27,1073.61,1066.70,1086.83,1139.30,1197.44,1186.33,1227.55,1311.46,1389.90,1424.68,1486.89,1503.37,1584.13,1609.45,1699.19,1701.54,1606.27,1730.05,1776.15,1710.70,1840.53
,DHOBAURA,51.15,61.47,56.25,56.27,55.82,61.74,58.98,57.99,60.71,67.20,68.38,69.75,66.35,72.87,74.09,75.10,75.13,82.93,83.84,83.51,96.04,100.29,97.74,91.51
,FULBARIA,253.37,281.05,276.51,277.62,265.79,314.21,306.86,319.05,325.75,346.95,354.82,358.53,373.62,396.62,411.94,419.09,433.16,462.03,479.75,487.48,489.30,531.59,534.74,528.52
,GOFFARGAON,358.48,396.59,402.12,425.09,407.74,439.78,446.86,475.77,451.26,478.16,505.71,530.86,524.33,565.42,597.99,612.83,609.23,666.44,698.76,672.46,699.16,727.57,727.66,718.85
,GOURIPUR,160.62,183.65,173.50,174.74,174.28,192.95,196.55,198.76,200.91,218.70,225.40,231.66,227.79,244.47,253.42,248.33,257.36,279.44,282.75,281.93,298.51,305.79,316.90,311.86
,HALUAGHAT,235.85,227.86,201.55,225.31,228.14,247.47,243.02,249.60,246.40,258.05,244.33,252.89,252.03,274.11,274.37,272.37,306.42,303.56,302.04,327.54,300.01,297.06,281.05,300.42
,ISHWARGANJ,290.82,327.13,302.15,300.57,300.09,317.85,321.65,320.76,326.61,335.52,333.22,341.13,373.34,397.07,403.28,406.43,421.11,457.21,454.74,435.57,472.27,492.13,482.98,490.03
,KOTWALI_MYMENSINGH,4537.26,4984.11,4906.95,4993.58,4982.05,5450.92,5371.42,5750.12,5799.05,6143.75,6273.09,6441.65,6462.96,6761.56,6470.43,6750.88,7477.76,7849.15,7679.61,7814.95,8248.85,8673.88,8844.94,9086.68
,MUKTAGACHA,416.73,437.91,453.74,485.67,506.60,555.68,573.19,593.38,594.43,616.22,646.95,673.09,694.66,732.38,754.39,769.15,725.42,799.63,808.51,803.11,850.06,888.95,922.70,923.13
,NANDAIL,175.33,202.43,179.79,209.83,207.60,217.66,225.70,241.39,233.17,250.35,260.02,264.84,260.74,292.50,281.28,290.97,286.24,329.65,306.98,305.03,339.42,346.61,340.88,352.64
,PAGLA,18.84,21.29,21.50,24.60,26.54,29.01,31.30,32.69,31.72,34.96,38.17,43.64,42.79,46.95,51.49,54.89,55.76,60.57,70.04,68.62,70.37,75.73,79.38,81.81
,PHULPUR,174.22,204.65,196.53,196.82,199.16,228.03,230.09,243.94,241.69,255.52,274.63,280.81,284.05,307.16,297.46,295.57,296.90,323.25,338.59,327.69,345.20,348.68,321.05,332.35
,TARAKANDA,94.66,110.25,98.98,95.34,94.47,107.99,103.23,108.12,106.37,116.63,114.38,117.68,115.33,128.28,126.74,136.62,140.69,158.62,148.24,149.43,166.76,168.75,167.51,162.80
,TRISAL,433.00,465.25,464.49,506.51,560.80,605.90,559.32,619.69,590.08,632.38,651.94,712.21,667.89,714.74,759.42,774.21,801.91,811.11,841.78,891.68,857.00,857.90,897.57,913.33
NAOGAON Total,,4123.11,4448.97,4284.10,4428.55,4480.56,4881.91,4908.61,5075.79,5105.18,5522.86,5618.82,5825.14,5882.34,6053.60,6186.49,6238.42,6293.42,6716.98,6675.17,6664.56,6883.55,7214.98,7113.90,7340.03
NAOGAON,ATRAI,155.23,169.53,167.86,174.35,176.19,192.87,200.93,206.37,195.53,221.18,228.93,245.17,238.05,258.59,264.51,273.64,259.75,280.29,288.72,292.47,292.36,301.33,313.36,311.59
,BADALGACHI,99.76,114.68,111.40,109.99,106.12,114.68,109.57,109.92,114.27,126.40,127.55,135.34,129.81,146.74,145.66,152.48,150.62,166.39,170.36,172.30,186.23,187.87,189.36,198.29
,DHAMOIRHAT,82.22,94.60,85.75,93.38,90.06,99.79,90.90,97.90,93.91,112.03,107.50,110.98,105.47,114.23,108.71,108.95,110.15,122.30,117.74,118.82,130.65,133.23,131.47,131.73
,MANDA,240.88,262.39,263.00,258.12,266.48,291.26,285.23,289.58,297.67,324.54,339.22,362.21,355.45,371.17,391.95,396.65,394.97,427.47,427.85,427.05,439.88,482.63,467.84,479.51
,MOHADEVPUR,397.65,429.53,434.43,451.36,459.93,505.06,494.48,514.00,497.30,524.45,533.78,542.69,538.55,552.45,563.42,560.83,571.00,652.22,590.53,564.43,601.74,623.24,622.96,669.56
,NAOGAON SADAR,2262.85,2434.24,2283.49,2393.48,2426.57,2638.38,2662.55,2780.54,2832.65,3054.14,3095.70,3223.15,3304.56,3348.43,3389.93,3434.00,3504.37,3696.81,3638.84,3713.57,3830.04,3953.52,3934.95,4080.52
,NIAMOTPUR,169.91,174.25,165.79,167.69,175.71,186.55,181.56,189.47,204.69,215.07,214.83,231.87,241.97,246.98,246.44,251.63,254.01,267.25,260.01,262.61,269.09,259.18,256.93,268.78
