district,thana,year,quarter,deposits
nan,KAZIRHAT,2019,Q1,5.98
nan,KAZIRHAT,2019,Q2,7.82
nan,KAZIRHAT,2019,Q3,8.51
nan,KAZIRHAT,2020,Q1,9.09
nan,KAZIRHAT,2020,Q2,10.93
nan,KAZIRHAT,2020,Q3,11.96
nan,KAZIRHAT,2021,Q1,14.52
nan,KAZIRHAT,2021,Q2,15.79
nan,KAZIRHAT,2021,Q3,16.13
nan,KAZIRHAT,2022,Q1,19.08
nan,KAZIRHAT,2022,Q2,21.77
nan,KAZIRHAT,2022,Q3,20.64
nan,KAZIRHAT,2023,Q1,20.62
nan,KAZIRHAT,2023,Q2,20.84
nan,KAZIRHAT,2024,,21.08
